index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그,재료양
1,밑반찬,,,,감자볶음 레시피 감자채볶음 햄감자볶음 황금레시피,https://www.10000recipe.com/recipe/7073455,"2,806",뚜루,2인분,20분 이내,아무나,"['감자', '햄', '오일', '소금', '후추']",아이들 있는 집에서는 햄과 감자의 조합이 실패할 확률이 거의 없죠. 오늘은 다른 반찬 없이도 밥 한그릇을 뚝딱 비우게 만들어주는 감자볶음을 만들었어요. 오늘은 매일 먹어도 질리지 않고 다른 반찬들과도 잘 어울리는 햄감자볶음 레시피 소개해 드릴게요 '◡',"['감자 2개와 햄 150g을 준비합니다. 감자는 얇고 일정하게 채 썰어주고, 햄도 감자와 같은 두께로 썰어주세요.', '채 썬 감자는 찬물에 10분 정도 담가 전분기를 제거해주세요. 전분기 뺀 감자는 물기를 충분히 빼주세요.', '기름 없이 마른 팬에 감자를 먼저 넣고 살짝 볶아 수분을 날려준 후 오일을 넉넉히 두르고 감자를 중불에서 볶아주세요. 이때 감자가 타지 않게 계속 섞어주면서 볶는 게 포인트예요.', '감자가 반 정도 익으면 소금으로 간을 해주세요. (약 1/2t) 그리고 햄을 넣고 함께 볶아주세요.', '감자가 모두 익으면 후추, 참기름, 깨소금으로 마무리해 주세요.', '담백하면서 고소한 맛의 햄감자볶음 완성입니다.']","['감자볶음', '감자볶음레시피', '햄감자볶음', '감자채볶음']","['2개', '150g', '넉넉히', '1/2작은술', '넉넉히']"
2,밑반찬,,,,건취나물무침 만드는법,https://www.10000recipe.com/recipe/7083141,209,호수맘,6인분 이상,120분 이내,아무나,"['건취나물', '집간장', '마늘', '들기름', '대파', '참기름', '깨소금', '식소다']",말린 취나물을 불려 조물 조물 묻혀내면 특유의 구수한 향과 쌉싸름한 맛이 입맛을 돋구는 건취나물 무침입니다.,"['건취나물은 먼저 흐르는 물에 여러 번 씻어 이물질을 제거해 주세요.\n큰 볼에 취나물을 담고 충분한 양의 물을 부어 몇 시간 또는 하룻밤 정도 불려줍니다.\n취나무지 부드럽게 불어나면 여러 번 헹궈 주세요.', '불린 취나물은 불린물과같이 냄비에 넣고 삶아 줍니다.\n20분정도 중약불에서 삶은후 불을끄고 식소다넣고 10분정도에 보시면 부드럽습니다 깨끗한물로여러번헹궈주세요', '꼭짠 취나물에 파 송송 마늘 집간장 들기름넣고 조물조물 무처주세요\n깨소금과참기름넣고 가볍게 무처주면 완성입니다\n싱거우면 소금간약간해주세요']","['건취나물무침', '건취나물삶는법', '나물무치기', '말린취나물요리']","['50g', '1T', '1/2T', '1T', '1/2대', '약간', '약간', '1/2T']"
3,밑반찬,,,,간장 진미채 볶음,https://www.10000recipe.com/recipe/7082545,357,호수맘,6인분 이상,15분 이내,아무나,"['진미채', '미림', '마요네즈', '진간장', '미림', '설탕', '올리고당', '다진마늘', '참기름', '깨소금']",오늘은 아이부터 어른까지. 누구나 좋아하는 간장 진미채볶음 만들어 볼게.,"['진미채가 길면 먹기 좋은 크기로 잘라 주세요\n진미채의 미림 3 큰술을 넣고 조물조물 해주세요. 그리고 전자레인지에 40초 데워 마요네즈 1 큰술 넣고 조물조물 버무려주세요.', '양념을 만들어 주세요. 진간장 2 큰술 설탕1 큰술 올리고당 1 큰술 다진 마늘 0.5큰술 넣고 끓여 식혀주세요', '진미채의 양념장을 넣고 조물조물 무쳐주세요\n참기름 깨소금 넣고 가볍게 섞어주면 달콤 짭조름한 간장 진미채 완성입니다.']","['간장진미채볶음', '간장진미채볶음레시피', '간장진미채', '밑반찬만들기', '도시락반찬']","['150g', '3T', '1T', '2T', '2T', '1T', '1T', '1/2T', '약간', '약간']"
4,밑반찬,,,,간장버터 새송이구이,https://www.10000recipe.com/recipe/7018465,"17,884",요리하는허니레빗,2인분,10분 이내,초급,"['새송이버섯', '쪽파', '버터', '올리고당', '다진마늘', '간장', '참기름', '물']",평소 고기 외에는 야채를 싫어하는 저를 위해 만들어 보았는데요 버섯에서 양념갈비 맛이 나서 야채를 싫어하는 사람들에게도 거부감 없이 먹일 수 있어서 성인은 물론 아이들까지도 찾게 되는 맛이에요!,"['새송이 버섯 밑둥을 잘라주시고 흐르는 물에 씻어주세요.\n버섯은 너무 두껍지 않게 대략 2cm 정도 세로로 잘라주세요!\n도마\n,\n조리용나이프', '다음으로는 양념장을 만들어 줄건데요 다진마늘 1T,올리고당2T, 간장 5T,참기름 1T,쪽파2T, 물 2T을 넣고 잘 섞어주세요\n소스볼\n,\n숟가락', '중약불로 팬을 달궈주신 후 팬에 열이 오르면 버터 1조각을 녹여주세요\n프라이팬\n,\n요리집게', '버터가 다 녹으면 팬에 새송이 버섯을 올려 중약불에서 천천히 앞뒤 노릇하게 구워주셔야 고기처럼 쫄깃해져요!', '노릇해진 새송이 버섯에 아까 만들어둔 양념장을 전부 부어 졸여주세요 불의 세기는 계속 중약불로 유지해주셔야해요\n요리스푼', '이렇게 양념이 졸여지면 불을 꺼주세요', '이렇게 하면 맛있는 간장버터 새송이버섯 구이 완성입니다!\n플레이팅접시']","['새송이버섯', '간장구이', '고기대용', '버섯요리', '간장버터새송이버섯구이', '요리']","['1봉지', '2T', '1조각', '2T', '1T', '5T', '1T', '2T']"
5,밑반찬,,,,어묵볶음 만들기 안 불고 쫄깃하게 만드는 법,https://www.10000recipe.com/recipe/7073955,"3,021",눈히,4인분,10분 이내,아무나,"['사각어묵4~5장', '양파', '대파', '당근', '식용유', '물엿', '설탕', '진간장', '맛술', '다진 마늘', '물', '후추', '참기름', '통깨']","간단한 재료로 쉽게 만드는 어묵볶음이에요.
양념을 넣는 순서만 바꿔도 불지 않고 쫄깃하게 완성돼요.","['어묵은 4등분 한 뒤 먹기 좋은 크기로 길쭉하게 썰어 준비합니다.', '양파와 당근은 살짝 도톰하게 채 썰어 아삭한 식감을 살리고, 대파는 어슷 썰어 준비해 주세요. 채소는 넉넉하게 준비한 편이에요.', '팬에 식용유을 두르고 중불에서 어묵을 가볍게 볶아줍니다. 기름으로 겉면을 한 번 코팅해 주면 나중에 양념을 넣어도 쉽게 불지 않아요.', '여기에 물엿과 설탕을 넣어 한 번 더 볶아주세요. 간장을 넣기 전 당분을 먼저 입혀주면 어묵 속까지 쫀득한 식감이 돼요.', '불을 센 불로 올린 뒤, 팬 한쪽으로 공간을 만들어 간장을 넣어주세요. 간장이 지글지글 끓으면 어묵과 빠르게 섞어준 뒤, 이어서 맛술을 넣어 윤기를 더합니다.', '준비한 채소와 다진 마늘을 넣고 센 불에서 가볍게 볶아 숨을 죽인 뒤, 물 2큰술을 넣어 촉촉함을 살짝 더해 주세요.', '마지막으로 불을 끄고 후추, 참기름, 통깨를 넣어 가볍게 섞어 마무리합니다.']","['어묵볶음', '오뎅볶음', '간장어묵볶음', '간장오뎅볶음', '어묵요리', '오뎅요리', '밑반찬', '간단한반찬', '반찬']","['4~5장', '1/4개', '1/2대', '약간', '1큰술', '1큰술', '0.5큰술', '1큰술', '1큰술', '0.5큰술', '2큰술', '약간', '0.5작은술', '0.5큰술']"
6,밑반찬,,,,참치액으로 감칠맛 up 하얀 콩나물무침 레시피,https://www.10000recipe.com/recipe/7069884,"1,612",뽕림이,4인분,10분 이내,아무나,"['콩나물200g', '참치액', '다진 마늘', '참기름', '간 깨', '꽃소금']",참치액으로 감칠맛을 더한 하얀 콩나물무침 레시피예요 :),"['콩나물 손질은 간단해요.\n썩은 콩과 콩 껍데기를 골라내고 너무 길거나 지저분하게 난 뿌리를 깔끔하게 손질해 주기만 하면 ok\n콩나물 세척은 충분히 잠기도록 물을 붓고 살랑살랑 흔들어가며 두어 번 헹궈주기만 하면 돼요.\n세척이 끝난 콩나물은\n체에 밭쳐 물기를 빼줍니다', '자 이제 콩나물을 삶아볼게요.\n냄비 또는 팬에 물을 적당량 붓고 소금 1큰술을 넣은 뒤 강불로 올려줍니다.\n물이 끓기 시작하면 콩나물을 넣고 4~5분간 삶아줍니다.\n콩나물 삶는 시간은 취향껏 해주시면 되는데요.\n아삭한콩나물무침 좋아하시면 4분 정도만 삶아주세요.', '삶은 콩나물은 찬물에 헹궈 열기를 식히고,\n체에 밭쳐 물기를 빼줍니다.\n손으로 짜지 말고 체에 밭쳐 물기를 빼주세요.', '볼에 물기 뺀 콩나물을 담고 참치액 ½큰술, 다진 마늘 ½큰술 참기름 1큰술, 간 깨 1큰술을 넣어줍니다.\n이후 소금으로 입맛에 맞게 간을 해주기만 하면 끝이에요.']","['하얀콩나물무침', '콩나물무침', '콩나물무침레시피', '콩나물요리', '콩나물반찬', '밑반찬', '간단한', '밑반찬', '초간단', '쉬운반찬', '간단한반찬']","['200g', '1/2큰술', '1/2큰술', '1큰술', '1큰술', '적당량']"
7,밑반찬,,,,시금치무침 (시금치데치는 방법 시금치나물요리 나물반찬 반찬레시피),https://www.10000recipe.com/recipe/7022775,"17,403",ariel1007,4인분,10분 이내,초급,"['시금치', '소금', '물', '다진 마늘', '참치액', '참기름', '깨소금', '소금']",봄에 먹는 제철나물반찬입니다 시금치 데치는 방법과 무침양념을 알려드립니다,"['시금치는 뿌리를 잘라 낸 후 한잎한잎 떼어서 찬물에 흔들어 가면서 씻어 흙과 불순물을 제거 해 준다\n믹싱볼\n,\n채반\n,\n조리용나이프\n시금치 손질법 레시피', '냄비에 물을 넉넉히 붓고 소금 1스푼을 넣은 후 끓여준다\n냄비\n센불', '물이 끓으면 씻은 시금치를 넣고 약 40초 가량 데쳐준다\n센불', '데친 시금치는 찬물에 헹구어 준다', '대파는 길이로 반으로 자른 후 잘게 썰어준다\n도마\n,\n조리용나이프', '볼에 시금치를 꼭 짜서 담아준다', '무침 양념을 모두 넣어준다\n믹싱볼\n,\n조리용스푼', '조물조물 양념과 시금치가 고루 섞이 도록 무쳐준다']","['시금치요리', '시금치나물반찬', '시금치무침', '무침양념', '밑반찬', '반찬', '초간단', '비타민']","['300g', '1스푼', '넉넉히', '1스푼', '1.5스푼', '1스푼', '1스푼', '0.5스푼']"
8,밑반찬,,,,숙주나물 무침 만들기 아삭한 숙주나물 무침 양념 레시피 깔끔한 밑반찬 요리,https://www.10000recipe.com/recipe/7073764,"2,695",포남댁,6인분 이상,20분 이내,아무나,"['숙주나물', '대파', '국간장', '다진마늘', '참기름', '통깨']","아삭한 숙주나물 무침은 화려하진 않지만
매일 먹어도 질리진 않는 집밥반찬이에요
숙주나물 한 봉지로 간단하게 만들 수 있고
식탁 영양의 균형을 맞출 수 있는 숙주나물!
가볍게 먹기 좋은 나물 반찬이지만
알고 보면 영양도 꽤 알찬 숙주랍니다.
아스파라긴산이 풍부한 숙주나물은 피로회복에
도움을 주고 비타민과 철분도 함유되어 있어서
혈관 건강과 항산화에도 좋은 재료에요!
​
​
가볍게 데친 다음 국간장과 참기름으로
깔끔하고 아삭한 식감을 살려서 무쳐낸
숙주나물 무침 레시피를 남겨 보도록 할게요 :)
​","['숙주나물 한 봉지를 준비해서 흐르는 물로\n가볍게 씻어준 뒤 체반에 받쳐 물기를 제거합니다.', '숙주나물 무침에 같이 들어갈 대파는\n작게 쫑쫑 썰어주세요', '냄비에 물을 800ml 정도 넣고\n소금을 한 꼬집 넣은 다음 팔팔 끓으면\n손질해둔 숙주나물을 모두 넣어줍니다.', '너무 오래 데치면 아삭한 식감이 덜해지니\n30초 정도만 빠르게 데쳐내 주세요', '데쳐낸 숙주나물을 차가운 물에 빠르게\n헹궈준 뒤 체반에 받쳐 물기를 제거합니다.', '볼에 데친 숙주나물을 담고\n썰어둔 대파와 함께 다진 마늘 1t,\n국간장 2t, 참기름 1t, 통깨 1t를\n양념장으로 넣어주세요', '양념장과 숙주나물이 잘 어우러지도록\n손으로 조물조물 무쳐주면서\n사이사이에 양념이 잘 배어들면\n아삭한 숙주나물 무침이 완성입니다^^']","['숙주나물무침', '아삭한숙주나물', '깔끔밑반찬요리']","['350g', '1/2개', '2t', '1t', '1t', '1t']"
9,밑반찬,,,,실패없는 무생채 레시피,https://www.10000recipe.com/recipe/7070354,"2,235",윤자딸,4인분,5분 이내,아무나,"['무', '대파', '소금', '설탕', '고춧가루', '진간장', '식초']",바로 먹어도 맛있는 무생채 레시피입니다!,"['일정한 크기로 무 1/3개 잘라주세요.\n채칼보다 칼로 써는 게 무르지 않아서 좋아요!', '소금 조금, 설탕 2 숟갈 넣고 3분 정도 버무려 주세요.\n3분 정도 버무리면 무 숨이 죽고, 물이 나와요!', '고춧가루 3숟갈 넣고, 버무려 주세요.', '대파 조금, 진간장 1숟갈, 식초 2숟갈 넣고 버무려 주세요.\n냉장고 숙성 없이 바로 먹어도 맛있어요!']","['무생채', '반찬', '집밥', '밥상', '무', '무생채만들기', '무생체레시피', '무생채양념', '자취요리', '자취']","['1/3', '0.2대', '약간', '2큰술', '3큰술', '1큰술', '2큰술']"
10,밑반찬,,,,오이고추된장무침 (사계절 먹기좋은 밑반찬 고추무침 5분 레시피),https://www.10000recipe.com/recipe/7009944,"33,035",ariel1007,4인분,5분 이내,아무나,"['오이고추', '된장', '고추장', '참기름', '올리고당', '통깨']",오이고추로 만든 밥반찬 밑반찬입니다 불 없이 초간단하게 만들 수 있는 레시피입니다,"['볼에 된장 양념을 모두 넣고 골고루 섞어준다\n믹싱볼\n,\n숟가락', '오이고추는 깨끗하게 씻어 꼭지를 떼어 낸 후 한 입 크기로 썰어준다\n도마\n,\n조리용나이프', '잘 섞어 놓은 된장 양념에 오이고추를 모두 넣어준다', '수저로 저어가면서 고루 무쳐준다']","['오이고추요리', '고추무침', '오이고추된장무침', '밑반찬', '밥반찬', '자취요리', '도시락반찬', '초간단', '초스피드']","['7개', '1스푼', '0.5스푼', '1스푼', '0.5스푼', '1스푼']"
